part.age.cat,cont.age.cat,wM,wF,w,mMM,mFM,mMF,mFF,m,cMM,cFM,cMF,cFF,c
"[0,5)","[0,5)",505570,482582,988152,1.120790054,0.898889969,0.858024044,0.827650609,1.855611736,2.22E-06,1.78E-06,1.78E-06,1.72E-06,1.88E-06
"[5,10)","[0,5)",505570,482582,988152,0.490866599,0.514509677,0.553234816,0.535767716,1.047117484,9.71E-07,1.02E-06,1.15E-06,1.11E-06,1.06E-06
"[10,15)","[0,5)",505570,482582,988152,0.066173412,0.075545309,0.100357754,0.120955699,0.181175543,1.31E-07,1.49E-07,2.08E-07,2.51E-07,1.83E-07
"[15,20)","[0,5)",505570,482582,988152,0.025131358,0.057172406,0.030329007,0.051105953,0.081291053,4.97E-08,1.13E-07,6.28E-08,1.06E-07,8.23E-08
"[20,25)","[0,5)",505570,482582,988152,0.027383258,0.147050449,0.031655949,0.074381765,0.139379596,5.42E-08,2.91E-07,6.56E-08,1.54E-07,1.41E-07
"[25,30)","[0,5)",505570,482582,988152,0.098690052,0.334198545,0.076002907,0.312182992,0.409915939,1.95E-07,6.61E-07,1.57E-07,6.47E-07,4.15E-07
"[30,35)","[0,5)",505570,482582,988152,0.316265974,0.496970414,0.249164738,0.640467818,0.851017014,6.26E-07,9.83E-07,5.16E-07,1.33E-06,8.61E-07
"[35,40)","[0,5)",505570,482582,988152,0.385259649,0.440004262,0.296111128,0.476102507,0.797265074,7.62E-07,8.70E-07,6.14E-07,9.87E-07,8.07E-07
"[40,45)","[0,5)",505570,482582,988152,0.172936844,0.214108,0.157565008,0.226223918,0.38467392,3.42E-07,4.23E-07,3.27E-07,4.69E-07,3.89E-07
"[45,50)","[0,5)",505570,482582,988152,0.071035173,0.072001472,0.070307422,0.103829486,0.1584423,1.41E-07,1.42E-07,1.46E-07,2.15E-07,1.60E-07
"[50,55)","[0,5)",505570,482582,988152,0.049339245,0.066545922,0.068251441,0.147720047,0.165551696,9.76E-08,1.32E-07,1.41E-07,3.06E-07,1.68E-07
"[55,60)","[0,5)",505570,482582,988152,0.067459267,0.130413495,0.125292388,0.210916381,0.266248296,1.33E-07,2.58E-07,2.60E-07,4.37E-07,2.69E-07
"[60,65)","[0,5)",505570,482582,988152,0.129012361,0.191202064,0.178942057,0.200260363,0.349554266,2.55E-07,3.78E-07,3.71E-07,4.15E-07,3.54E-07
"[65,70)","[0,5)",505570,482582,988152,0.090837547,0.147568023,0.117045328,0.126008553,0.241591362,1.80E-07,2.92E-07,2.43E-07,2.61E-07,2.44E-07
"[70,75)","[0,5)",505570,482582,988152,0.044377873,0.072369966,0.04860305,0.06350855,0.11616217,8.78E-08,1.43E-07,1.01E-07,1.32E-07,1.18E-07
"[75,80)","[0,5)",505570,482582,988152,0.019590466,0.028290442,0.022862715,0.018935515,0.045255879,3.87E-08,5.60E-08,4.74E-08,3.92E-08,4.58E-08
"[0,5)","[5,10)",510917,487660,998577,0.496060736,0.58572323,0.496290587,0.541410507,1.058174766,9.71E-07,1.15E-06,1.02E-06,1.11E-06,1.06E-06
"[5,10)","[5,10)",510917,487660,998577,3.496719673,1.589575197,1.517239937,2.390131207,4.508876959,6.84E-06,3.11E-06,3.11E-06,4.90E-06,4.52E-06
"[10,15)","[5,10)",510917,487660,998577,0.597378747,0.273833763,0.355606176,0.601196946,0.9148936,1.17E-06,5.36E-07,7.29E-07,1.23E-06,9.16E-07
"[15,20)","[5,10)",510917,487660,998577,0.072875744,0.085058356,0.066728405,0.082234008,0.153145096,1.43E-07,1.66E-07,1.37E-07,1.69E-07,1.53E-07
"[20,25)","[5,10)",510917,487660,998577,0.036584005,0.080645314,0.033822179,0.06465395,0.107457898,7.16E-08,1.58E-07,6.94E-08,1.33E-07,1.08E-07
"[25,30)","[5,10)",510917,487660,998577,0.049863466,0.130134868,0.046170796,0.130598663,0.178166954,9.76E-08,2.55E-07,9.47E-08,2.68E-07,1.78E-07
"[30,35)","[5,10)",510917,487660,998577,0.151435106,0.241175099,0.101729877,0.266087774,0.380028484,2.96E-07,4.72E-07,2.09E-07,5.46E-07,3.81E-07
